ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedIntent	JudgedDomain	JudgedConstraints	ConversationContext	MetaData	Frequency	Cat
filesearch_fileType_2908	0		user	doc yaram shared about Read Act Compose Framing	file_search	FILES	<file_type> doc </file_type> <contact_name> yaram </contact_name> <file_action> shared </file_action> about <file_keyword> Read Act Compose Framing </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2909	0		user	document named Perf OKRs	file_search	FILES	document named <file_name> Perf OKRs </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2910	0		user	can you find IC-Q3-19-OKR-Template word by suman venkata	file_search	FILES	can you find <file_keyword> IC-Q3-19-OKR-Template </file_keyword> <file_type> word </file_type> by <contact_name> suman venkata </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2911	0		user	Cortana on Windows Vibranium International Plan docx by venkata	file_search	FILES	<file_keyword> Cortana on Windows Vibranium International Plan </file_keyword> <file_type> docx </file_type> by <contact_name> venkata </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2912	0		user	can you find 2019_12_13_DesignReview spreadsheet by ashuthosh upadhyaya	file_search	FILES	can you find <file_keyword> 2019_12_13_DesignReview </file_keyword> <file_type> spreadsheet </file_type> by <contact_name> ashuthosh upadhyaya </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2913	0		user	find allisons מבטח סיימון	search_people_attribute	PEOPLE	find <contact_name> allison </contact_name> s <people_attribute> מבטח סיימון </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2914	0		user	Teams Timeline Update information from lydia	search_people_attribute	PEOPLE	<people_attribute> Teams Timeline Update </people_attribute> information from <contact_name> lydia </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2915	0		user	schedule for Substrate Perf Shiproom - 2020-2-5	find_calendar_entry	CALENDAR	schedule for <title> Substrate Perf Shiproom - 2020-2-5 </title>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2916	0		user	what is jon harriss Endpoints Table	search_people_attribute	PEOPLE	what is <contact_name> jon harris </contact_name> s <people_attribute> Endpoints Table </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2917	0		user	yes please	confirm	NOTE	yes please	{}	[]	1	PositiveFullMatch
filesearch_fileType_2918	0		user	email titled MSAIRQList	send_email	EMAIL	email titled <email_subject> MSAIRQList </email_subject>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2919	0		user	send a note to allison JTBD - OL Product	send_email	EMAIL	send a <message_type> note </message_type> to <contact_name> allison </contact_name> <message> JTBD - OL Product </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2920	0		user	add Suggested replies with file - Jan 2020 Update to my list	add_to_note	NOTE	add <note_text> Suggested replies with file - Jan 2020 Update </note_text> to my <data_type> list </data_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2921	0		user	excel by ashuthosh about Teams Search High level Architecture Diagram	file_search	FILES	<file_type> excel </file_type> by <contact_name> ashuthosh </contact_name> about <file_keyword> Teams Search High level Architecture Diagram </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2922	0		user	word yaram shared about 2020_01_SmartComposeMonthlyReview	file_search	FILES	<file_type> word </file_type> <contact_name> yaram </contact_name> <file_action> shared </file_action> about <file_keyword> 2020_01_SmartComposeMonthlyReview </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2923	0		user	what is sha lis M365 Search - 3S Instrumentation - Client Contracts	search_people_attribute	PEOPLE	what is <contact_name> sha li </contact_name> s <people_attribute> M365 Search - 3S Instrumentation - Client Contracts </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2924	0		user	open Substrate Groups Provisioning Latency Reduction word by suman	file_open	FILES	open <file_keyword> Substrate Groups Provisioning Latency Reduction </file_keyword> <file_type> word </file_type> by <contact_name> suman </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2925	0		user	whats enriques Teams Instrumentation Events Breakdown	search_people_attribute	PEOPLE	whats <contact_name> enrique </contact_name> s <people_attribute> Teams Instrumentation Events Breakdown </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2926	0		user	open People Skill Voice Module docx by yaram	file_open	FILES	open <file_keyword> People Skill Voice Module </file_keyword> <file_type> docx </file_type> by <contact_name> yaram </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2927	0		user	spreadsheet by upadhyaya named Overview_AzureCompliance_Tracker_Current	file_search	FILES	<file_type> spreadsheet </file_type> by <contact_name> upadhyaya </contact_name> named <file_name> Overview_AzureCompliance_Tracker_Current </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2928	0		user	xls ashuthosh shared about Microsoft Search User Job Framework	file_search	FILES	<file_type> xls </file_type> <contact_name> ashuthosh </contact_name> <file_action> shared </file_action> about <file_keyword> Microsoft Search User Job Framework </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2929	0		user	when i reach bellevue city center	create_single_reminder	REMINDER	when i reach <absolute_location> bellevue city center </absolute_location>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2930	0		user	join my Microsoft Search Overview 200 pm meeting	connect_to_meeting	CALENDAR	join my <title> Microsoft Search Overview </title> <start_time> 200 pm </start_time> meeting	{}	[]	1	PositiveFullMatch
filesearch_fileType_2931	0		user	create a reminder to Universal Search + Assistant + Instrumentation - FY20 Q2 when i reach home	create_single_reminder	REMINDER	create a reminder to <reminder_text> Universal Search + Assistant + Instrumentation - FY20 Q2 </reminder_text> when i reach <implicit_location> home </implicit_location>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2932	0		user	open up To Do powerpoint presentation file	file_open	FILES	open up <file_keyword> To Do </file_keyword> <file_type> powerpoint presentation </file_type> file	{}	[]	1	PositiveFullMatch
filesearch_fileType_2933	0		user	when is my next TestCasesReport-Week49_Nov Dec 2nd - Dec 6th appointment	find_calendar_when	CALENDAR	when is my <start_time> next </start_time> <title> TestCasesReport-Week49_Nov Dec 2nd - Dec 6th </title> appointment	{}	[]	1	PositiveFullMatch
filesearch_fileType_2934	0		user	ashuthosh upadhyaya files	file_search	FILES	<contact_name> ashuthosh upadhyaya </contact_name> files	{}	[]	1	PositiveFullMatch
filesearch_fileType_2935	0		user	what is jon harriss Embedded Intelligence Checkpoint (Jan 2020)	search_people_attribute	PEOPLE	what is <contact_name> jon harris </contact_name> s <people_attribute> Embedded Intelligence Checkpoint (Jan 2020) </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2936	0		user	doc called QuickBuild	file_search	FILES	<file_type> doc </file_type> called <file_name> QuickBuild </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2937	0		user	xlsx by ashuthosh upadhyaya named New Hire	file_search	FILES	<file_type> xlsx </file_type> by <contact_name> ashuthosh upadhyaya </contact_name> named <file_name> New Hire </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2938	0		user	Cortana Experience Overview - Offsite word by yaram venkata	file_search	FILES	<file_keyword> Cortana Experience Overview - Offsite </file_keyword> <file_type> word </file_type> by <contact_name> yaram venkata </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2939	0		user	block time for Design - Semantic Machines Compliant Contract tomorrow from 200 pm to 400 pm	block_time	CALENDAR	block time for <title> Design - Semantic Machines Compliant Contract </title> <start_date> tomorrow </start_date> from <start_time> 200 pm </start_time> to <end_time> 400 pm </end_time>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2940	0		user	cancel my FY20-Q2-OKRs at 700 pm today	delete_calendar_entry	CALENDAR	cancel my <title> FY20-Q2-OKRs </title> at <start_time> 700 pm </start_time> <start_date> today </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2941	0		user	my teams Signed_Tax_InvoiceReceipt_No_115615	search_people_attribute	PEOPLE	my teams <people_attribute> Signed_Tax_InvoiceReceipt_No_115615 </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2942	0		user	xlsx named Cosmos Convergence Subs	file_search	FILES	<file_type> xlsx </file_type> named <file_name> Cosmos Convergence Subs </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2943	0		user	Perf Dependencies &amp; Contracts word by yaram	file_search	FILES	<file_keyword> Perf Dependencies &amp; Contracts </file_keyword> <file_type> word </file_type> by <contact_name> yaram </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2944	0		user	fine joses FY19-20 AI in M365 readiness	search_people_attribute	PEOPLE	fine <contact_name> jose </contact_name> s <people_attribute> FY19-20 AI in M365 readiness </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2945	0		user	send a note to satya Microsoft Search User Job Framework	send_email	EMAIL	send a <message_type> note </message_type> to <contact_name> satya </contact_name> <message> Microsoft Search User Job Framework </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2946	0		user	can you find Running Late - Prioritization and Requirements word by suman venkata	file_search	FILES	can you find <file_keyword> Running Late - Prioritization and Requirements </file_keyword> <file_type> word </file_type> by <contact_name> suman venkata </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2947	0		user	do i have anything on my schedule this afternoon	find_calendar_entry	CALENDAR	do i have anything on my schedule <start_time> this afternoon </start_time>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2948	0		user	spreadsheet ashuthosh upadhyaya shared about Set Up Compliant Cortana for iOS	file_search	FILES	<file_type> spreadsheet </file_type> <contact_name> ashuthosh upadhyaya </contact_name> <file_action> shared </file_action> about <file_keyword> Set Up Compliant Cortana for iOS </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2949	0		user	docx venkata suman yaram shared	file_search	FILES	<file_type> docx </file_type> <contact_name> venkata suman yaram </contact_name> <file_action> shared </file_action>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2950	0		user	document venkata shared about S+A H2 Planning	file_search	FILES	document <contact_name> venkata </contact_name> <file_action> shared </file_action> about <file_keyword> S+A H2 Planning </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2951	0		user	delete reminder	delete_reminder	REMINDER	delete reminder	{}	[]	1	PositiveFullMatch
filesearch_fileType_2952	0		user	doc suman shared	file_search	FILES	<file_type> doc </file_type> <contact_name> suman </contact_name> <file_action> shared </file_action>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2953	0		user	jim JTBD - OL Product	search_people_attribute	PEOPLE	<contact_name> jim </contact_name> <people_attribute> JTBD - OL Product </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2954	0		user	who is my admin	search_org_chart	PEOPLE	who is my <relationship_name> admin </relationship_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2955	0		user	send email to jose that cortana_alignment_om_teams_2	send_email	EMAIL	send <message_type> email </message_type> to <contact_name> jose </contact_name> that <message> cortana_alignment_om_teams_2 </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2956	0		user	find me DRI spreadsheet by ashuthosh	file_search	FILES	find me <file_keyword> DRI </file_keyword> <file_type> spreadsheet </file_type> by <contact_name> ashuthosh </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2957	0		user	spreadsheet upadhyaya shared about Scheduler comms _ Dec 4, 2019	file_search	FILES	<file_type> spreadsheet </file_type> <contact_name> upadhyaya </contact_name> <file_action> shared </file_action> about <file_keyword> Scheduler comms _ Dec 4, 2019 </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2958	0		user	xlsx called Customization FY20 Plan_v1.0	file_search	FILES	<file_type> xlsx </file_type> called <file_name> Customization FY20 Plan_v1.0 </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2959	0		user	remind me to Day Overview - PM one pager on saturday at 1100 pm	create_single_reminder	REMINDER	remind me to <reminder_text> Day Overview - PM one pager </reminder_text> on <start_date> saturday </start_date> at <start_time> 1100 pm </start_time>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2960	0		user	can you find S+A OM focused Shiproom 01282020 xlsx by ashuthosh	file_search	FILES	can you find <file_keyword> S+A OM focused Shiproom 01282020 </file_keyword> <file_type> xlsx </file_type> by <contact_name> ashuthosh </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2961	0		user	files to anthony tran	file_search	FILES	files to <to_contact_name> anthony tran </to_contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2962	0		user	fine diegos Centralized Dashboard	search_people_attribute	PEOPLE	fine <contact_name> diego </contact_name> s <people_attribute> Centralized Dashboard </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2963	0		user	find me Spring2020-MLADS-Reviewers word by venkata	file_search	FILES	find me <file_keyword> Spring2020-MLADS-Reviewers </file_keyword> <file_type> word </file_type> by <contact_name> venkata </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2964	0		user	file for EntityServe HealthModel document	file_search	FILES	file for <file_keyword> EntityServe HealthModel </file_keyword> document	{}	[]	1	PositiveFullMatch
filesearch_fileType_2965	0		user	add event to my calendar	create_calendar_entry	CALENDAR	add event to my calendar	{}	[]	1	PositiveFullMatch
filesearch_fileType_2966	0		user	find me Feature Tutorial word by yaram venkata	file_search	FILES	find me <file_keyword> Feature Tutorial </file_keyword> <file_type> word </file_type> by <contact_name> yaram venkata </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2967	0		user	doc shared by yaram	file_search	FILES	<file_type> doc </file_type> <file_action> shared </file_action> by <contact_name> yaram </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2968	0		user	word named S+A Answer Extensibility - Plan for BUILD 2020 - v1.0	file_search	FILES	<file_type> word </file_type> named <file_name> S+A Answer Extensibility - Plan for BUILD 2020 - v1.0 </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2969	0		user	document by venkata suman yaram called Dev Newbie	file_search	FILES	document by <contact_name> venkata suman yaram </contact_name> called <file_name> Dev Newbie </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2970	0		user	what is CSDK-Manual-Testing-Cost of hari	search_people_attribute	PEOPLE	what is <people_attribute> CSDK-Manual-Testing-Cost </people_attribute> of <contact_name> hari </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2971	0		user	add WOV &amp; VA user behavior summary 02052020 for 500 pm friday	create_calendar_entry	CALENDAR	add <title> WOV &amp; VA user behavior summary 02052020 </title> for <start_time> 500 pm </start_time> <start_date> friday </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2972	0		user	find attachments from john	search_message	TEAMSMESSAGE	find <has_attachment> attachments </has_attachment> from <contact_name_from> john </contact_name_from>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2973	0		user	craig millers MeetingInsights_UserReach_FY20H1	search_people_attribute	PEOPLE	<contact_name> craig miller </contact_name> s <people_attribute> MeetingInsights_UserReach_FY20H1 </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2974	0		user	what is craigs Rajesh MSR Resiliency Reporting	search_people_attribute	PEOPLE	what is <contact_name> craig </contact_name> s <people_attribute> Rajesh MSR Resiliency Reporting </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2975	0		user	remind me to Set Up Compliant Cortana for Android Teams App every 90 minutes	create_single_reminder	REMINDER	remind me to <reminder_text> Set Up Compliant Cortana for Android Teams App </reminder_text> <start_time> every 90 minutes </start_time>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2976	0		user	xlsx ashuthosh upadhyaya shared about Running Experiments - Advanced	file_search	FILES	<file_type> xlsx </file_type> <contact_name> ashuthosh upadhyaya </contact_name> <file_action> shared </file_action> about <file_keyword> Running Experiments - Advanced </file_keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2977	0		user	who is account manager	search_people_by_attribute	PEOPLE	who is <job_title> account manager </job_title>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2978	0		user	what is millers דף קשר להורים	search_people_attribute	PEOPLE	what is <contact_name> miller </contact_name> s <people_attribute> דף קשר להורים </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2979	0		user	word by venkata usman yaram	file_search	FILES	<file_type> word </file_type> by <contact_name> venkata usman yaram </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2980	0		user	remove Voice Skills BVT Manual Test Cases (Core) from my ignore list	delete_note_item	NOTE	remove <note_text> Voice Skills BVT Manual Test Cases (Core) </note_text> from my <title> ignore </title> <data_type> list </data_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2981	0		user	what is christians 202001_SubstrateIntelligenceWorkingSession_RoleOfAIInEffectiveMeetings	search_people_attribute	PEOPLE	what is <contact_name> christians </contact_name> <people_attribute> 202001_SubstrateIntelligenceWorkingSession_RoleOfAIInEffectiveMeetings </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2982	0		user	tind me Aspiring Agents Pre-Read word by venkata	file_search	FILES	tind me <file_keyword> Aspiring Agents Pre-Read </file_keyword> <file_type> word </file_type> by <contact_name> venkata </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2983	0		user	whats enriques Office 365 Substrate MSR_January_2020	search_people_attribute	PEOPLE	whats <contact_name> enrique </contact_name> s <people_attribute> Office 365 Substrate MSR_January_2020 </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2984	0		user	jims Running Experiments	search_people_attribute	PEOPLE	<contact_name> jim </contact_name> s <people_attribute> Running Experiments </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2985	0		user	mail allison PRC NEO Schedule F20	send_email	EMAIL	mail <contact_name> allison </contact_name> <message> PRC NEO Schedule F20 </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2986	0		user	Kingston-WorkingDeck	send_email	EMAIL	<message> Kingston-WorkingDeck </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2987	0		user	what is erins Transition to MSE 2.0 - Israel	search_people_attribute	PEOPLE	what is <contact_name> erin </contact_name> s <people_attribute> Transition to MSE 2.0 - Israel </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2988	0		user	can you find Drive VST Reach &amp; Retention via Data docx by yaram venkata	file_search	FILES	can you find <file_keyword> Drive VST Reach &amp; Retention via Data </file_keyword> <file_type> docx </file_type> by <contact_name> yaram venkata </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2989	0		user	show Embedded Intelligence Checkpoint (Jan 2020) docx	file_search	FILES	show <file_keyword> Embedded Intelligence Checkpoint (Jan 2020) </file_keyword> <file_type> docx </file_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2990	0		user	play my emails	search_email	EMAIL	play my <message_type> emails </message_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2991	0		user	remind me everyday at 117 to [Untitled]	create_single_reminder	REMINDER	remind me <start_date> everyday </start_date> at <start_time> 117 </start_time> to <reminder_text> [Untitled] </reminder_text>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2992	0		user	Contact voice search meeting today	find_calendar_entry	CALENDAR	<title> Contact voice search </title> meeting <start_date> today </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2993	0		user	xls by ashuthosh upadhyaya named Universal Search + Assistant + Instrumentation - FY20 Q2	file_search	FILES	<file_type> xls </file_type> by <contact_name> ashuthosh upadhyaya </contact_name> named <file_name> Universal Search + Assistant + Instrumentation - FY20 Q2 </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2994	0		user	excel by upadhyaya named Planning	file_search	FILES	<file_type> excel </file_type> by <contact_name> upadhyaya </contact_name> named <file_name> Planning </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2995	0		user	next OMC - Tasks Test Cases meeting with rachna	find_calendar_entry	CALENDAR	<start_time> next </start_time> <title> OMC - Tasks Test Cases </title> meeting with <contact_name> rachna </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2996	0		user	who is jose gomezangulo	search_people_by_name	PEOPLE	who is <contact_name> jose gomezangulo </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2997	0		user	show todays calendar	navigate_calendar	CALENDAR	show <start_date> today </start_date> s calendar	{}	[]	1	PositiveFullMatch
filesearch_fileType_2998	0		user	where is sundars image00001	search_people_attribute	PEOPLE	where is <contact_name> sundar </contact_name> s <people_attribute> image00001 </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_2999	0		user	what is Tools for allison	search_people_attribute	PEOPLE	what is <people_attribute> Tools </people_attribute> for <contact_name> allison </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3000	0		user	messages from shuyin last week on External scheduling demo walk-through	search_message	TEAMSMESSAGE	messages from <contact_name_from> shuyin </contact_name_from> <start_date> last week </start_date> on <keyword> External scheduling demo walk-through </keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3001	0		user	what is joses Cortana in Teams R2 Weekly Shiproom	search_people_attribute	PEOPLE	what is <contact_name> jose </contact_name> s <people_attribute> Cortana in Teams R2 Weekly Shiproom </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3002	0		user	set up time with saketh to TVS - R1 Prod recap - Jan 2020	create_calendar_entry	CALENDAR	set up time with <contact_name> saketh </contact_name> to <title> TVS - R1 Prod recap - Jan 2020 </title>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3003	0		user	AI in M365 for MSAI Customer Deck deck for malik	file_search	FILES	<file_keyword> AI in M365 for MSAI Customer Deck </file_keyword> <file_type> deck </file_type> for <contact_name> malik </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3004	0		user	find allison	search_people_by_name	PEOPLE	find <contact_name> allison </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3005	0		user	send a mail to allison that Smart Reply Android R1 Release	send_email	EMAIL	send a <message_type> mail </message_type> to <contact_name> allison </contact_name> that <message> Smart Reply Android R1 Release </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3006	0		user	AI+R Scorecard of jason	search_people_attribute	PEOPLE	<people_attribute> AI+R Scorecard </people_attribute> of <contact_name> jason </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3007	0		user	add Context subject to my calendar at 535 pm today	create_calendar_entry	CALENDAR	add <title> Context </title> subject to my calendar at <start_time> 535 pm </start_time> <start_date> today </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3008	0		user	find Private build meeting with ron tomorrow	find_calendar_entry	CALENDAR	find <title> Private build </title> meeting with <contact_name> ron </contact_name> <start_date> tomorrow </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3009	0		user	find Voice Skills BVT Manual Test Cases (Core) spreadsheet	file_search	FILES	find <file_keyword> Voice Skills BVT Manual Test Cases (Core) </file_keyword> <file_type> spreadsheet </file_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3010	0		user	join my meeting about 0 Welcome to Bootcamp	connect_to_meeting	CALENDAR	join my meeting about <title> 0 Welcome to Bootcamp </title>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3011	0		user	S8UTVV file shared by vivek	file_search	FILES	<file_keyword> S8UTVV </file_keyword> file <file_action> shared </file_action> by <contact_name> vivek </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3012	0		user	where is hanjiangs TeamsIOSUcs_2020-01-17_2020-01-17_usingCortanaVC.ss	search_people_attribute	PEOPLE	where is <contact_name> hanjiang </contact_name> s <people_attribute> TeamsIOSUcs_2020-01-17_2020-01-17_usingCortanaVC.ss </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3013	0		user	schedule PerfStatusUpdates tomorrow am at 800 am	create_calendar_entry	CALENDAR	schedule <title> PerfStatusUpdates </title> <start_date> tomorrow </start_date> <start_time> am </start_time> at 800 <start_time> am </start_time>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3014	0		user	word by suman	file_search	FILES	<file_type> word </file_type> by <contact_name> suman </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3015	0		user	send email to chad that Vendor Allocation	send_email	EMAIL	send <message_type> email </message_type> to <contact_name> chad </contact_name> that <message> Vendor Allocation </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3016	0		user	fine jamess MSAI -- FY20 Resource Allocation and New asks	search_people_attribute	PEOPLE	fine <contact_name> james </contact_name> s <people_attribute> MSAI -- FY20 Resource Allocation and New asks </people_attribute>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3017	0		user	how does my schedule look critics week	find_calendar_entry	CALENDAR	how does my schedule look critics <start_date> week </start_date>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3018	0		user	send email to rachael tan	send_email	EMAIL	send <message_type> email </message_type> to <contact_name> rachael tan </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3019	0		user	word by suman venkata named Vertical 2 Powered By Session View	file_search	FILES	<file_type> word </file_type> by <contact_name> suman venkata </contact_name> named <file_name> Vertical 2 Powered By Session View </file_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3020	0		user	whats What's next - design deck for diego	search_people_attribute	PEOPLE	whats <people_attribute> What's next - design deck </people_attribute> for <contact_name> diego </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3021	0		user	schedule a meeting with august niehaus and ryan bielby about Steps to follow before writing bug with an example	create_calendar_entry	CALENDAR	schedule a meeting with <contact_name> august niehaus </contact_name> and <contact_name> ryan bielby </contact_name> about <title> Steps to follow before writing bug with an example </title>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3022	0		user	find my messages about Partner Engagement Process - Teams Mobile	search_message	TEAMSMESSAGE	find my messages about <keyword> Partner Engagement Process - Teams Mobile </keyword>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3023	0		user	add FY20 Q3 MSAI Answer-Skill Dev Platform - OKR to my packing list	add_to_note	NOTE	add <note_text> FY20 Q3 MSAI Answer-Skill Dev Platform - OKR </note_text> to my <title> packing </title> <data_type> list </data_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3024	0		user	send a note to andrew 202001_WorkingSession_RoleOfAIInEffectiveMeetings	send_email	EMAIL	send a <message_type> note </message_type> to <contact_name> andrew </contact_name> <message> 202001_WorkingSession_RoleOfAIInEffectiveMeetings </message>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3025	0		user	remind me to Context at 1125 pm	create_single_reminder	REMINDER	remind me to <reminder_text> Context </reminder_text> at <start_time> 1125 pm </start_time>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3026	0		user	xlsx modified by ashuthosh upadhyaya	file_search	FILES	<file_type> xlsx </file_type> <file_action> modified </file_action> by <contact_name> ashuthosh upadhyaya </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3027	0		user	add baking powder salt and FY21 Substrate Budget Planning to my baking list pancake list	add_to_note	NOTE	add <note_text> FY21 Substrate Budget Planning </note_text> and <note_text> FY21 Substrate Budget Planning </note_text> to my <title> baking </title> <data_type> list </data_type> <title> pancake </title> <data_type> list </data_type>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3028	0		user	set up a meeting with adarsh	create_calendar_entry	CALENDAR	set up a meeting with <contact_name> adarsh </contact_name>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3029	0		user	remind me to Deprecation plan - Cortana Mobile Apps in an hour	create_single_reminder	REMINDER	remind me to <reminder_text> Deprecation plan - Cortana Mobile Apps </reminder_text> <start_time> in an hour </start_time>	{}	[]	1	PositiveFullMatch
filesearch_fileType_3030	0		user	remind me to Substrate Search Query API V1 Specification in	create_single_reminder	REMINDER	remind me to <reminder_text> Substrate Search Query API V1 Specification </reminder_text> in	{}	[]	1	PositiveFullMatch
