MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
tax form document with png attachment	EMAILSEARCH	<keyword> tax form </keyword>  document  with <attachment_type> png </attachment_type> <attachment> attachment </attachment>	search_email
files with frog ics attachment	EMAILSEARCH	 files  with <keyword> frog </keyword> <attachment_type> ics </attachment_type> <attachment> attachment </attachment>	search_email
documents to stacy with attachment	EMAILSEARCH	 documents  to <contact_name_to> stacy </contact_name_to> with <attachment> attachment </attachment>	search_email
bring up documents from chas shows an attachment	EMAILSEARCH	bring up  documents  from <contact_name_from> chas </contact_name_from> shows an <attachment> attachment </attachment>	search_email
document with frog tsv attachment	EMAILSEARCH	 document  with <keyword> frog </keyword> <attachment_type> tsv </attachment_type> <attachment> attachment </attachment>	search_email
show me document with attachments from may	EMAILSEARCH	show me  document  with <attachment> attachments </attachment> from <start_date> may </start_date>	search_email
find binary worksheet in todays document attachments	EMAILSEARCH	find <keyword> binary </keyword> <attachment_type> worksheet </attachment_type> in <start_date> todays </start_date>  document  <attachment> attachments </attachment>	search_email
look for files with vdw attachments	EMAILSEARCH	look for  files  with <attachment_type> vdw </attachment_type> <attachment> attachments </attachment>	search_email
w9 slides attachment	EMAILSEARCH	<keyword> w9 </keyword> <attachment_type> slides </attachment_type> <attachment> attachment </attachment>	search_email
kristy with attachment vssm	EMAILSEARCH	<contact_name> kristy </contact_name> with <attachment> attachment </attachment> <attachment_type> vssm </attachment_type>	search_email
search for all documents with slides attachments	EMAILSEARCH	search for <emailsearch_other> all </emailsearch_other>  documents  with <attachment_type> slides </attachment_type> <attachment> attachments </attachment>	search_email
potluck lunch attachment sent from amy	EMAILSEARCH	<keyword> potluck lunch </keyword> <attachment> attachment </attachment> sent from <contact_name_from> amy </contact_name_from>	search_email
document about football with attachment	EMAILSEARCH	 document  about <keyword> football </keyword> with <attachment> attachment </attachment>	search_email
list out all documents that have attachments on them	EMAILSEARCH	list out all  documents  that have <attachment> attachments </attachment> on them	search_email
file from laurie with attachment	EMAILSEARCH	 file  from <contact_name_from> laurie </contact_name_from> with <attachment> attachment </attachment>	search_email
greg vsdx attachment files	EMAILSEARCH	<contact_name> greg </contact_name> <attachment_type> vsdx </attachment_type> <attachment> attachment </attachment>  files 	search_email
file containing new edition blueprint attachment sent from jed	EMAILSEARCH	 file  containing <keyword> new edition blueprint </keyword> <attachment> attachment </attachment> sent from <contact_name_from> jed </contact_name_from>	search_email
documents with attachments from february 4th to may 6th about movies	EMAILSEARCH	 documents  with <attachment> attachments </attachment> from <start_date> february 4th </start_date> to <end_date> may 6th </end_date> about <keyword> movies </keyword>	search_email
search for any document from last week that had attachments	EMAILSEARCH	search for any  document  from <start_date> last week </start_date> that had <attachment> attachments </attachment>	search_email
documents about payslip with attachment	EMAILSEARCH	 documents  about <keyword> payslip </keyword> with <attachment> attachment </attachment>	search_email
files from joe word attachment	EMAILSEARCH	 files  from <contact_name_from> joe </contact_name_from> <attachment_type> word </attachment_type> <attachment> attachment </attachment>	search_email
files sent to john with excels attachment	EMAILSEARCH	 files  sent to <contact_name_to> john </contact_name_to> with <attachment_type> excels </attachment_type> <attachment> attachment </attachment>	search_email
to steve attachments	EMAILSEARCH	to <contact_name_to> steve </contact_name_to> <attachment> attachments </attachment>	search_email
open up files from bob with attachment	EMAILSEARCH	open up  files  from <contact_name_from> bob </contact_name_from> with <attachment> attachment </attachment>	search_email
documents with attachment about butterfly	EMAILSEARCH	 documents  with <attachment> attachment </attachment> about <keyword> butterfly </keyword>	search_email
show me document from document with csv	EMAILSEARCH	show me  document  from  document  with <attachment_type> csv </attachment_type>	search_email
files from ufcu with attachment mortgage statement	EMAILSEARCH	 files  from <contact_name_from> ufcu </contact_name_from> with <attachment> attachment </attachment> <keyword> mortgage statement </keyword>	search_email
file with attachment from june about musicerwr rerewr wrwe	EMAILSEARCH	 file  with <attachment> attachment </attachment> from <start_date> june </start_date> about <keyword> musicerwr rerewr wrwe </keyword>	search_email
locate files with attachments between december 3rd and december 12th	EMAILSEARCH	locate  files  with <attachment> attachments </attachment> between <start_date> december 3rd </start_date> and <end_date> december 12th </end_date>	search_email
documents with doc attachment	EMAILSEARCH	 documents  with <attachment_type> doc </attachment_type> <attachment> attachment </attachment>	search_email
file from amy with attachments	EMAILSEARCH	 file  from <contact_name_from> amy </contact_name_from> with <attachment> attachments </attachment>	search_email
khias file from august with attachments	EMAILSEARCH	<contact_name_from> khia </contact_name_from> s  file  from <start_date> august </start_date> with <attachment> attachments </attachment>	search_email
document from saturday with attachment	EMAILSEARCH	 document  from <start_date> saturday </start_date> with <attachment> attachment </attachment>	search_email
attachments march 21st to march 23rd	EMAILSEARCH	<attachment> attachments </attachment> <start_date> march 21st </start_date> to <end_date> march 23rd </end_date>	search_email
open house documents with attachment	EMAILSEARCH	<keyword> open house </keyword>  documents  with <attachment> attachment </attachment>	search_email
find all file from jonny that have an attachment	EMAILSEARCH	find all  file  from <contact_name_from> jonny </contact_name_from> that have an <attachment> attachment </attachment>	search_email
file from john with office work attachment	EMAILSEARCH	 file  from <contact_name_from> john </contact_name_from> with <keyword> office work </keyword> <attachment> attachment </attachment>	search_email
document from dapriy with attachments	EMAILSEARCH	 document  from <contact_name_from> dapriy </contact_name_from> with <attachment> attachments </attachment>	search_email
from lia mpp attachment	EMAILSEARCH	from <contact_name_from> lia </contact_name_from> <attachment_type> mpp </attachment_type> <attachment> attachment </attachment>	search_email
file form rudy brown with attachment	EMAILSEARCH	 file  form <contact_name_from> rudy brown </contact_name_from> with <attachment> attachment </attachment>	search_email
file containing attachments	EMAILSEARCH	 file  containing <attachment> attachments </attachment>	search_email
file from doctor sofia with attachment about health between january and march	EMAILSEARCH	 file  from <contact_name_from> doctor sofia </contact_name_from> with <attachment> attachment </attachment> about <keyword> health </keyword> between <start_date> january </start_date> and <end_date> march </end_date>	search_email
attachment was not included on documents	EMAILSEARCH	<attachment> attachment </attachment> was not included on  documents 	search_email
document from ellen with attachments about birthday party	EMAILSEARCH	 document  from <contact_name_from> ellen </contact_name_from> with <attachment> attachments </attachment> about <keyword> birthday party </keyword>	search_email
searching document from janet containing vstx attachments	EMAILSEARCH	searching  document  from <contact_name_from> janet </contact_name_from> containing <attachment_type> vstx </attachment_type> <attachment> attachments </attachment>	search_email
file from robert to cora with attachment	EMAILSEARCH	 file  from <contact_name_from> robert </contact_name_from> to <contact_name_to> cora </contact_name_to> with <attachment> attachment </attachment>	search_email
files about xrays with attachments	EMAILSEARCH	 files  about <keyword> xrays </keyword> with <attachment> attachments </attachment>	search_email
attachment file from sam	EMAILSEARCH	<attachment> attachment </attachment>  file  from <contact_name_from> sam </contact_name_from>	search_email
file with october attachment	EMAILSEARCH	 file  with <start_date> october </start_date> <attachment> attachment </attachment>	search_email
file to joe with attachment	EMAILSEARCH	 file  to <contact_name_to> joe </contact_name_to> with <attachment> attachment </attachment>	search_email
file containing schedule attachments please	EMAILSEARCH	 file  containing <keyword> schedule </keyword> <attachment> attachments </attachment> please	search_email
pptx attachment to jack	EMAILSEARCH	<attachment_type> pptx </attachment_type> <attachment> attachment </attachment> to <contact_name_to> jack </contact_name_to>	search_email
documents with invoice attachments	EMAILSEARCH	 documents  with <keyword> invoice </keyword> <attachment> attachments </attachment>	search_email
vstx attachments sent to jim	EMAILSEARCH	<attachment_type> vstx </attachment_type> <attachment> attachments </attachment> sent to <contact_name_to> jim </contact_name_to>	search_email
lindas file with attachment	EMAILSEARCH	<contact_name> linda </contact_name> s  file  with <attachment> attachment </attachment>	search_email
download attachment	EMAILSEARCH	download <attachment> attachment </attachment>	search_email
bring up document with powerpoints attachments	EMAILSEARCH	bring up  document  with <attachment_type> powerpoints </attachment_type> <attachment> attachments </attachment>	search_email
document from malik with attachments last month	EMAILSEARCH	 document  from <contact_name_from> malik </contact_name_from> with <attachment> attachments </attachment> <start_date> last month </start_date>	search_email
document from quinn to jen with attachment	EMAILSEARCH	 document  from <contact_name_from> quinn </contact_name_from> to <contact_name_to> jen </contact_name_to> with <attachment> attachment </attachment>	search_email
show me documents with an attachment came in november	EMAILSEARCH	show me  documents  with an <attachment> attachment </attachment> came in <start_date> november </start_date>	search_email
files s with attachments inside	EMAILSEARCH	 files  s with <attachment> attachments </attachment> inside	search_email
document that have credit card expense attachments	EMAILSEARCH	 document  that have <keyword> credit card expense </keyword> <attachment> attachments </attachment>	search_email
documents from paul with decks attachments	EMAILSEARCH	 documents  from <contact_name_from> paul </contact_name_from> with <attachment_type> decks </attachment_type> <attachment> attachments </attachment>	search_email
files to someonewith attachment	EMAILSEARCH	 files  to someonewith <attachment> attachment </attachment>	search_email
attachments opened with received files	EMAILSEARCH	<attachment> attachments </attachment> opened with received  files 	search_email
files including football attachments	EMAILSEARCH	 files  including <keyword> football </keyword> <attachment> attachments </attachment>	search_email
january files with an attachment	EMAILSEARCH	<start_date> january </start_date>  files  with an <attachment> attachment </attachment>	search_email
peter with attachment png	EMAILSEARCH	<contact_name> peter </contact_name> with <attachment> attachment </attachment> <attachment_type> png </attachment_type>	search_email
search for all files with vssm attachments	EMAILSEARCH	search for <emailsearch_other> all </emailsearch_other>  files  with <attachment_type> vssm </attachment_type> <attachment> attachments </attachment>	search_email
that is show me files with attachments	EMAILSEARCH	that is show me  files  with <attachment> attachments </attachment>	search_email
document with attachment in date range june to july 2019	EMAILSEARCH	 document  with <attachment> attachment </attachment> in date range <start_date> june </start_date> to <end_date> july 2019 </end_date>	search_email
jacob file with attachment	EMAILSEARCH	<contact_name> jacob </contact_name>  file  with <attachment> attachment </attachment>	search_email
ppts attachment from dad	EMAILSEARCH	<attachment_type> ppts </attachment_type> <attachment> attachment </attachment> from <relationship_name_from> dad </relationship_name_from>	search_email
sheets attachments from john	EMAILSEARCH	<attachment_type> sheets </attachment_type> <attachment> attachments </attachment> from <contact_name_from> john </contact_name_from>	search_email
show attachment document	EMAILSEARCH	show <attachment> attachment </attachment>  document 	search_email
documents attachments to lucille	EMAILSEARCH	 documents  <attachment> attachments </attachment> to <contact_name_to> lucille </contact_name_to>	search_email
from giselle with attachment	EMAILSEARCH	from <contact_name_from> giselle </contact_name_from> with <attachment> attachment </attachment>	search_email
files with attachments from lia	EMAILSEARCH	 files  with <attachment> attachments </attachment> from <contact_name_from> lia </contact_name_from>	search_email
documents with an attachment that i have	EMAILSEARCH	 documents  with an <attachment> attachment </attachment> that i have	search_email
document from october that have attachments	EMAILSEARCH	 document  from <start_date> october </start_date> that have <attachment> attachments </attachment>	search_email
i need to see my documents from december that have attachments	EMAILSEARCH	i need to see my  documents  from <start_date> december </start_date> that have <attachment> attachments </attachment>	search_email
find document attachments from jean	EMAILSEARCH	find  document  <attachment> attachments </attachment> from <contact_name_from> jean </contact_name_from>	search_email
files having attachments from salva	EMAILSEARCH	 files  having <attachment> attachments </attachment> from <contact_name_from> salva </contact_name_from>	search_email
pdfs attachments from joshua	EMAILSEARCH	<attachment_type> pdfs </attachment_type> <attachment> attachments </attachment> from <contact_name_from> joshua </contact_name_from>	search_email
file sent to other teachers with attachment	EMAILSEARCH	 file  sent to <contact_name_to> other teachers </contact_name_to> with <attachment> attachment </attachment>	search_email
documents from dapriy with attachments	EMAILSEARCH	 documents  from <contact_name_from> dapriy </contact_name_from> with <attachment> attachments </attachment>	search_email
find files sent from zachary jones during february which have attachments	EMAILSEARCH	find  files  sent from <contact_name_from> zachary jones </contact_name_from> during <start_date> february </start_date> which have <attachment> attachments </attachment>	search_email
to hilary doc attachment	EMAILSEARCH	to <contact_name_to> hilary </contact_name_to> <attachment_type> doc </attachment_type> <attachment> attachment </attachment>	search_email
find all files from jonny that have an attachment	EMAILSEARCH	find all  files  from <contact_name_from> jonny </contact_name_from> that have an <attachment> attachment </attachment>	search_email
files with attachments march 1	EMAILSEARCH	 files  with <attachment> attachments </attachment> <start_date> march 1 </start_date>	search_email
documents from december through today with attachments in them	EMAILSEARCH	 documents  from <start_date> december </start_date> through <end_date> today </end_date> with <attachment> attachments </attachment> in them	search_email
document to john with attachment that i sent today	EMAILSEARCH	 document  to <contact_name_to> john </contact_name_to> with <attachment> attachment </attachment> that <contact_name> i </contact_name> sent <start_date> today </start_date>	search_email
file with excel attachment from jack	EMAILSEARCH	 file  with <attachment_type> excel </attachment_type> <attachment> attachment </attachment> from <contact_name_from> jack </contact_name_from>	search_email
from darlene ppts attachment	EMAILSEARCH	from <contact_name_from> darlene </contact_name_from> <attachment_type> ppts </attachment_type> <attachment> attachment </attachment>	search_email
arts and crafts files from july 2019 with attachment	EMAILSEARCH	<keyword> arts and crafts </keyword>  files  from <start_date> july 2019 </start_date> with <attachment> attachment </attachment>	search_email
look for documents from connie with a spreadsheets attachment	EMAILSEARCH	look for  documents  from <contact_name_from> connie </contact_name_from> with a <attachment_type> spreadsheets </attachment_type> <attachment> attachment </attachment>	search_email
document in thesis with attachment	EMAILSEARCH	 document  in thesis with <attachment> attachment </attachment>	search_email
files replies with attachment	EMAILSEARCH	 files  replies with <attachment> attachment </attachment>	search_email
find an files with attachments from paul	EMAILSEARCH	find an  files  with <attachment> attachments </attachment> from <contact_name_from> paul </contact_name_from>	search_email
files with attachment from crisco	EMAILSEARCH	 files  with <attachment> attachment </attachment> from <contact_name_from> crisco </contact_name_from>	search_email
view all document containing an attachment	EMAILSEARCH	view all  document  containing an <attachment> attachment </attachment>	search_email
documents with attachment from jane	EMAILSEARCH	 documents  with <attachment> attachment </attachment> from <contact_name_from> jane </contact_name_from>	search_email
attachment from iris	EMAILSEARCH	<attachment> attachment </attachment> from <contact_name_from> iris </contact_name_from>	search_email
files received between august 1st and august 30th with attachments	EMAILSEARCH	 files  received between <start_date> august 1st </start_date> and <end_date> august 30th </end_date> with <attachment> attachments </attachment>	search_email
show me attachment xls with tim	EMAILSEARCH	show me <attachment> attachment </attachment> <attachment_type> xls </attachment_type> with <contact_name> tim </contact_name>	search_email
from jack file with attachment	EMAILSEARCH	from <contact_name_from> jack </contact_name_from>  file  with <attachment> attachment </attachment>	search_email
documents that include attachments	EMAILSEARCH	 documents  that include <attachment> attachments </attachment>	search_email
documents from sophie with attachment from august	EMAILSEARCH	 documents  from <contact_name_from> sophie </contact_name_from> with <attachment> attachment </attachment> from <start_date> august </start_date>	search_email
attachments from mia	EMAILSEARCH	<attachment> attachments </attachment> from <contact_name_from> mia </contact_name_from>	search_email
show me any files with attachments	EMAILSEARCH	show me any  files  with <attachment> attachments </attachment>	search_email
documents receive last march 1 and march 3 with attachment	EMAILSEARCH	 documents  receive <start_date> last march 1 </start_date> and <end_date> march 3 </end_date> with <attachment> attachment </attachment>	search_email
files including attachments	EMAILSEARCH	 files  including <attachment> attachments </attachment>	search_email
file from sybil to mary about what heaven is like with attachments re makeup	EMAILSEARCH	 file  from <contact_name_from> sybil </contact_name_from> to <contact_name_to> mary </contact_name_to> about <keyword> what heaven is like </keyword> with <attachment> attachments </attachment> re <keyword> makeup </keyword>	search_email
documents with attachment to jessica	EMAILSEARCH	 documents  with <attachment> attachment </attachment> to <contact_name_to> jessica </contact_name_to>	search_email
show me file with an attachment came in november	EMAILSEARCH	show me  file  with an <attachment> attachment </attachment> came in <start_date> november </start_date>	search_email
document from danny to keith with attachment	EMAILSEARCH	 document  from <contact_name_from> danny </contact_name_from> to <contact_name_to> keith </contact_name_to> with <attachment> attachment </attachment>	search_email
attachment decks angelina	EMAILSEARCH	<attachment> attachment </attachment> <attachment_type> decks </attachment_type> <contact_name> angelina </contact_name>	search_email
files from rachel with attachments	EMAILSEARCH	 files  from <contact_name_from> rachel </contact_name_from> with <attachment> attachments </attachment>	search_email
show me files from files with decks	EMAILSEARCH	show me  files  from  files  with <attachment_type> decks </attachment_type>	search_email
from helen file with attachment about christmas party	EMAILSEARCH	from <contact_name_from> helen </contact_name_from>  file  with <attachment> attachment </attachment> about <keyword> christmas party </keyword>	search_email
december to january documents with attachments	EMAILSEARCH	<start_date> december </start_date> to <end_date> january </end_date>  documents  with <attachment> attachments </attachment>	search_email
document with attachment on basketball	EMAILSEARCH	 document  with <attachment> attachment </attachment> on <keyword> basketball </keyword>	search_email
files with attachments received from march 2012 to june 2012 regarding delamo mall sale	EMAILSEARCH	 files  with <attachment> attachments </attachment> received from <start_date> march 2012 </start_date> to <end_date> june 2012 </end_date> regarding <keyword> delamo mall sale </keyword>	search_email
attachments that are with an documents	EMAILSEARCH	<attachment> attachments </attachment> that are with an  documents 	search_email
find binary vsdm in todays files attachments	EMAILSEARCH	find <keyword> binary </keyword> <attachment_type> vsdm </attachment_type> in <start_date> todays </start_date>  files  <attachment> attachments </attachment>	search_email
from maynard to brian with attachment	EMAILSEARCH	from <contact_name_from> maynard </contact_name_from> to <contact_name_to> brian </contact_name_to> with <attachment> attachment </attachment>	search_email
attachments contained in file	EMAILSEARCH	<attachment> attachments </attachment> contained in  file 	search_email
files ive received with attachments	EMAILSEARCH	 files  ive received with <attachment> attachments </attachment>	search_email
documents from bates to anna with attachments from november 2014	EMAILSEARCH	 documents  from <contact_name_from> bates </contact_name_from> to <contact_name_to> anna </contact_name_to> with <attachment> attachments </attachment> from <start_date> november 2014 </start_date>	search_email
document with attachment between june 8 to june 15	EMAILSEARCH	 document  with <attachment> attachment </attachment> between <start_date> june 8 </start_date> to <end_date> june 15 </end_date>	search_email
attachments that are added to an documents	EMAILSEARCH	<attachment> attachments </attachment> that are added to an  documents 	search_email
excels attachment from goku	EMAILSEARCH	<attachment_type> excels </attachment_type> <attachment> attachment </attachment> from <contact_name_from> goku </contact_name_from>	search_email
documents sent to other teachers with attachment	EMAILSEARCH	 documents  sent to <contact_name_to> other teachers </contact_name_to> with <attachment> attachment </attachment>	search_email
file from sc johnson but only ones with attachments	EMAILSEARCH	 file  from <contact_name_from> sc johnson </contact_name_from> but only ones with <attachment> attachments </attachment>	search_email
file with workbook attachment from april	EMAILSEARCH	 file  with <attachment_type> workbook </attachment_type> <attachment> attachment </attachment> from <start_date> april </start_date>	search_email
from harry with work attachments	EMAILSEARCH	from <contact_name_from> harry </contact_name_from> with <keyword> work </keyword> <attachment> attachments </attachment>	search_email
documents received between march 1 and march 15 with attachments trtyreruer	EMAILSEARCH	 documents  received between <start_date> march 1 </start_date> and <end_date> march 15 </end_date> with <attachment> attachments </attachment> trtyreruer	search_email
view document with excels attachments sent to amanda	EMAILSEARCH	view  document  with <attachment_type> excels </attachment_type> <attachment> attachments </attachment> sent to <contact_name_to> amanda </contact_name_to>	search_email
file with program attachment	EMAILSEARCH	 file  with <keyword> program </keyword> <attachment> attachment </attachment>	search_email
file with attachment vst	EMAILSEARCH	 file  with <attachment> attachment </attachment> <attachment_type> vst </attachment_type>	search_email
documents to valerie with attachments from august and september	EMAILSEARCH	 documents  to <contact_name_to> valerie </contact_name_to> with <attachment> attachments </attachment> from <start_date> august </start_date> and <end_date> september </end_date>	search_email
documents with vssm attachment in september	EMAILSEARCH	 documents  with <attachment_type> vssm </attachment_type> <attachment> attachment </attachment> in <start_date> september </start_date>	search_email
file from june 1st to june 3rd with attachments	EMAILSEARCH	 file  from <start_date> june 1st </start_date> to <end_date> june 3rd </end_date> with <attachment> attachments </attachment>	search_email
find attachments in file	EMAILSEARCH	find <attachment> attachments </attachment> in  file 	search_email
file containing spreadsheets attachment	EMAILSEARCH	 file  containing <attachment_type> spreadsheets </attachment_type> <attachment> attachment </attachment>	search_email
need attachment document	EMAILSEARCH	need <attachment> attachment </attachment>  document 	search_email
stacey hot chocolate pastry sent to document powerpoints attachment	EMAILSEARCH	<keyword> stacey hot chocolate pastry </keyword> sent to  document  <attachment_type> powerpoints </attachment_type> <attachment> attachment </attachment>	search_email
file from lisa to oliver about phone service with attachments	EMAILSEARCH	 file  from <contact_name_from> lisa </contact_name_from> to <contact_name_to> oliver </contact_name_to> about <keyword> phone service </keyword> with <attachment> attachments </attachment>	search_email
document from sophie with attachment from august	EMAILSEARCH	 document  from <contact_name_from> sophie </contact_name_from> with <attachment> attachment </attachment> from <start_date> august </start_date>	search_email
i want to see any document with attachments	EMAILSEARCH	i want to see any  document  with <attachment> attachments </attachment>	search_email
car repair files with attachment from joe sent last month	EMAILSEARCH	<keyword> car repair </keyword>  files  with <attachment> attachment </attachment> from <contact_name_from> joe </contact_name_from> sent <start_date> last month </start_date>	search_email
tracys files with budget attachment	EMAILSEARCH	<contact_name> tracy </contact_name> s  files  with <keyword> budget </keyword> <attachment> attachment </attachment>	search_email
peter with attachment xls	EMAILSEARCH	<contact_name> peter </contact_name> with <attachment> attachment </attachment> <attachment_type> xls </attachment_type>	search_email
show me documents from jordan with ics attachments	EMAILSEARCH	show me  documents  from <contact_name_from> jordan </contact_name_from> with <attachment_type> ics </attachment_type> attachments	search_email
find karens documents containing attachment	EMAILSEARCH	find <contact_name> karen </contact_name> s  documents  containing <attachment> attachment </attachment>	search_email
find holiday vcs attachments from brad	EMAILSEARCH	find <keyword> holiday </keyword> <attachment_type> vcs </attachment_type> <attachment> attachments </attachment> from <contact_name_from> brad </contact_name_from>	search_email
file from ruth and laura with attachments about dolls	EMAILSEARCH	 file  from <contact_name_from> ruth </contact_name_from> and <contact_name_from> laura </contact_name_from> with <attachment> attachments </attachment> about <keyword> dolls </keyword>	search_email
document with attachment from john to henry	EMAILSEARCH	 document  with <attachment> attachment </attachment> from <contact_name_from> john </contact_name_from> to <contact_name_to> henry </contact_name_to>	search_email
vsd attachment from jim	EMAILSEARCH	<attachment_type> vsd </attachment_type> <attachment> attachment </attachment> from <contact_name_from> jim </contact_name_from>	search_email
show me recent sheet attachments	EMAILSEARCH	show me <order_ref> recent </order_ref> <attachment_type> sheet </attachment_type> <attachment> attachments </attachment>	search_email
documents without attachments	EMAILSEARCH	 documents  <without_attachment> without attachments </without_attachment>	search_email
files from robert to cora re chamberlain visit with vstm attachments july 2015 to august 2015	EMAILSEARCH	 files  from <contact_name_from> robert </contact_name_from> to <contact_name_to> cora </contact_name_to> re <keyword> chamberlain visit </keyword> with <attachment_type> vstm </attachment_type> <attachment> attachments </attachment> <start_date> july 2015 </start_date> to <end_date> august 2015 </end_date>	search_email
documents from june 1st to june 3rd with attachments	EMAILSEARCH	 documents  from <start_date> june 1st </start_date> to <end_date> june 3rd </end_date> with <attachment> attachments </attachment>	search_email
files from sapna with multiple attachments	EMAILSEARCH	 files  from <contact_name_from> sapna </contact_name_from> with <keyword> multiple </keyword> <attachment> attachments </attachment>	search_email
unread documents from ashok with attachments	EMAILSEARCH	<message_category> unread </message_category>  documents  from <contact_name_from> ashok </contact_name_from> with <attachment> attachments </attachment>	search_email
find documents from tony with attachment	EMAILSEARCH	find  documents  from <contact_name_from> tony </contact_name_from> with <attachment> attachment </attachment>	search_email
documents with presentation attachment from last two months	EMAILSEARCH	 documents  with <attachment_type> presentation </attachment_type> <attachment> attachment </attachment> from <start_date> last two months </start_date>	search_email
cynthia documents attachments	EMAILSEARCH	<contact_name> cynthia </contact_name>  documents  <attachment> attachments </attachment>	search_email
document with attachment from michael to jude	EMAILSEARCH	 document  with <attachment> attachment </attachment> from <contact_name_from> michael </contact_name_from> to <contact_name_to> jude </contact_name_to>	search_email
mortgage service files from mary with attachments	EMAILSEARCH	<keyword> mortgage service </keyword>  files  from <contact_name_from> mary </contact_name_from> with <attachment> attachments </attachment>	search_email
files with attachment from ryan	EMAILSEARCH	 files  with <attachment> attachment </attachment> from <contact_name_from> ryan </contact_name_from>	search_email
files that had new logo proof attachment	EMAILSEARCH	 files  that had <keyword> new logo proof </keyword> <attachment> attachment </attachment>	search_email
mr stevens document to sally from august with attachment	EMAILSEARCH	<contact_name_from> mr stevens </contact_name_from>  document  to <contact_name_to> sally </contact_name_to> from <start_date> august </start_date> with <attachment> attachment </attachment>	search_email
file with attachment	EMAILSEARCH	 file  with <attachment> attachment </attachment>	search_email
find file containing attachments	EMAILSEARCH	find  file  containing <attachment> attachments </attachment>	search_email
document from jack that includes an attachment	EMAILSEARCH	 document  from <contact_name_from> jack </contact_name_from> that includes an <attachment> attachment </attachment>	search_email
documents form rudy brown with attachment	EMAILSEARCH	 documents  form <contact_name_from> rudy brown </contact_name_from> with <attachment> attachment </attachment>	search_email
attachments in file from peter	EMAILSEARCH	<attachment> attachments </attachment> in  file  from <contact_name_from> peter </contact_name_from>	search_email
to jim attachment slides	EMAILSEARCH	to <contact_name_to> jim </contact_name_to> <attachment> attachment </attachment> <attachment_type> slides </attachment_type>	search_email
mpt attachment from january	EMAILSEARCH	<attachment_type> mpt </attachment_type> <attachment> attachment </attachment> from <start_date> january </start_date>	search_email
document to jonny that have an attachment from january	EMAILSEARCH	 document  to <contact_name_to> jonny </contact_name_to> that have an <attachment> attachment </attachment> from <start_date> january </start_date>	search_email
attachment document from pipa	EMAILSEARCH	<attachment> attachment </attachment>  document  from <contact_name_from> pipa </contact_name_from>	search_email
search for files to jim two months ago that had an attachment	EMAILSEARCH	search for  files  to <contact_name_to> jim </contact_name_to> <start_date> two months ago </start_date> that had an <attachment> attachment </attachment>	search_email
work tracker document from team with attachments	EMAILSEARCH	<keyword> work tracker </keyword>  document  from <contact_name_from> team </contact_name_from> with <attachment> attachments </attachment>	search_email
document to sara with attachment	EMAILSEARCH	 document  to <contact_name_to> sara </contact_name_to> with <attachment> attachment </attachment>	search_email
tax form files with vstx attachment	EMAILSEARCH	<keyword> tax form </keyword>  files  with <attachment_type> vstx </attachment_type> <attachment> attachment </attachment>	search_email
onenote attachment to jason	EMAILSEARCH	<attachment_type> onenote </attachment_type> <attachment> attachment </attachment> to <contact_name_to> jason </contact_name_to>	search_email
find yesterday files with attachment	EMAILSEARCH	find <start_date> yesterday </start_date>  files  with <attachment> attachment </attachment>	search_email
retirement party documents with attachments sent in december	EMAILSEARCH	<keyword> retirement party </keyword>  documents  with <attachment> attachments </attachment> sent in <start_date> december </start_date>	search_email
document from mark with attachment from last month	EMAILSEARCH	 document  from <contact_name_from> mark </contact_name_from> with <attachment> attachment </attachment> from <start_date> last month </start_date>	search_email
which files contain sheet attachments	EMAILSEARCH	which  files  contain <attachment_type> sheet </attachment_type> <attachment> attachments </attachment>	search_email
walmart documents with attachments from sally from may 2019 to february 2020	EMAILSEARCH	<keyword> walmart </keyword>  documents  with <attachment> attachments </attachment> from <contact_name_from> sally </contact_name_from> from <start_date> may 2019 </start_date> to <end_date> february 2020 </end_date>	search_email
essay file with draft attachment from january 5th to march 10th	EMAILSEARCH	<keyword> essay </keyword>  file  with <keyword> draft </keyword> <attachment> attachment </attachment> from <start_date> january 5th </start_date> to <end_date> march 10th </end_date>	search_email
pias file to john with form attachments from march	EMAILSEARCH	<contact_name> pia </contact_name> s  file  to <contact_name_to> john </contact_name_to> with <keyword> form </keyword> <attachment> attachments </attachment> from <start_date> march </start_date>	search_email
file from victoria with attachment from last friday	EMAILSEARCH	 file  from <contact_name_from> victoria </contact_name_from> with <attachment> attachment </attachment> from <start_date> last friday </start_date>	search_email
joes attachment document to bill	EMAILSEARCH	<contact_name> joe </contact_name> s <attachment> attachment </attachment>  document  to <contact_name_to> bill </contact_name_to>	search_email
file from jim boyle with docs attachments	EMAILSEARCH	 file  from <contact_name_from> jim boyle </contact_name_from> with <attachment_type> docs </attachment_type> <attachment> attachments </attachment>	search_email
file containing excel attachment	EMAILSEARCH	 file  containing <attachment_type> excel </attachment_type> <attachment> attachment </attachment>	search_email
look up file from walter to vera with quarterly report attachment	EMAILSEARCH	look up  file  from <contact_name_from> walter </contact_name_from> to <contact_name_to> vera </contact_name_to> with <keyword> quarterly report </keyword> <attachment> attachment </attachment>	search_email
file to bill from katanga with attachment	EMAILSEARCH	 file  to <contact_name_to> bill </contact_name_to> from <contact_name_from> katanga </contact_name_from> with <attachment> attachment </attachment>	search_email
